,Unnamed: 0,x,y,r,g,b,Title,Artist,Year,Genre
2420,2420,8.0908165,6.909787,0.5775020277457078,0.6299715976729983,0.6461429488601029,"21st Century Schizoid Man - Including ""Mirrors""",King Crimson,1969,PsychRock
2421,2421,1.216248,7.220014,0.8547323712208605,0.9590142832597424,0.5934175569827715,Eu Te Amo,Cor Da Pele,1996,Pagode
2422,2422,9.206137,3.7016292,0.2907753859736328,0.8729169535361029,0.4355032302237806,"Roméo et Juliette, Act I: Ah! Je veux vivre","Charles Gounod, Pretty Yende, Giacomo Sagripanti",2017,Opera
2423,2423,0.5462743,3.9436498,0.8900265944666335,0.9223006944923436,0.5045929322481792,4 Colors,AeLL.,2012,JIdol
2424,2424,-0.77803475,4.5350184,0.9318753203861844,0.9691721997030656,0.575451765571289,5000 Miles,"Ashley Wallbridge, Bodine",2021,Trance
2425,2425,0.8926854,7.0782485,0.8673798031359728,0.9625990527343812,0.6962677115250178,Diamonds,Rihanna,2012,Pop
2426,2426,-0.7827761,5.4645524,0.9704279527783958,0.9764894237111232,0.6573761693601542,Put a Little Love In Your Heart,Marcia Griffiths,2006,Reggae
2427,2427,9.505525,4.4512177,0.2506388703830566,0.9233947510199454,0.3623603301845496,Moon,Seahaven,2020,Emo
2428,2428,9.751667,7.2612367,0.2924522975612011,0.9326442387749464,0.8137201604575249,Balada para un Loco,"Amelita Baltar, Leopoldo Federico, Sebastián Barbui",2017,Tango
2429,2429,-0.80212265,5.1645155,0.900835325403102,0.9768382230425514,0.7674447078533049,Honey,Samia,2023,IndiePop
2430,2430,9.883069,8.003504,0.1263068206016337,0.9820137900379082,0.7987646093637607,朝焼けと熱帯魚,Boku no Lyric no Boyomi,2017,JRock
2431,2431,3.805453,6.479882,0.6730984780713811,0.95656688164505,0.5505648447446294,背叛,Gary Chaw,2006,Mandopop
2432,2432,-0.02183133,5.297318,0.9313120527829166,0.9591391165017528,0.5019215549778941,Cheap Thrills,Sia,2016,Pop
2433,2433,-0.011268292,4.5833654,0.9049675989755226,0.92948032380338,0.4307801229275212,Aching,Kassy,2022,KPop
2434,2434,0.41960853,6.037382,0.8867539268538454,0.9545589827403214,0.4369649351887347,Nostalgia,Tragic Black,2016,Goth
